"id","方向","证据角色","作者","年份","题名","来源/类型","研究对象与地区","时间尺度","不确定性","核心决策","N-1","工程工期或延期","业务灵活性","绿电口径","测试系统或数据","与本项目的直接差异","RQ关联","核验层级","DOI或URL","核验日期"
"DC01","数据中心灵活接入与选址","直接竞争","Dongjoo Kim; Lin Dong; Le Xie","2026","Flexibility-aware framework for efficient planner-initiated siting of data center","Nature Communications; journal article","规划者预认证大型数据中心候选接入点；美国得州","2020年逐时运行序列；静态候选点筛选","逐时负荷和新能源轨迹；线路、变压器和机组单一故障；长期需求不确定性未做序贯学习","候选点筛选与排序；firm、pause、shift运行包络；SCUC/SCED运行评估","是，但以单故障可行比例门槛PR>=0.95筛选，而非所有状态统一硬可行","建设和接入时间仅作外生比较；无工程启动、工期或延期决策","firm为平坦负荷；pause削减后不补偿；shift在非峰时补偿并受爬坡约束","含新能源时序，但无年度匹配或小时级CFE归属约束","ACTIVSg2000合成得州系统；2000节点、约598台机组、约3206条支路","研究多候选POI的预认证选址，不研究固定POI下F/X逐季释放；无达产与工程延期场景树、内生扩建时序或网络/CFE共享柔性预算","RQ1背景；RQ3边界","F-全文筛选","https://doi.org/10.1038/s41467-026-72324-9","2026-07-13"
"DC02","数据中心灵活性与容量扩展","直接竞争","Yize Chen; Xiaogui Zheng","2026","To Defer or To Shift? The Role of AI Data Center Flexibility on Grid Interconnection","ACM Sustainability Week; proceedings article; arXiv:2604.05376","AI数据中心时移和跨区转移参与电源/网络容量扩展","两阶段；第一阶段投资，第二阶段逐时运行；用30个代表日近似全年","正文将当前模型称为deterministic；未建立达产或工程延期场景树","新增发电容量；逐时发电和潮流；延期工作积压；跨节点工作负载转移","否；全文模型未见N-1 contingency集合","无候选工程工期和延期状态","延期工作有积压和完成窗口；跨节点转移守恒；无F/X合同、事件次数或恢复债务包络","含新能源和运行成本，但无年度/小时CFE归属目标","IEEE 14-bus和WECC 240-bus；逐时负荷；30个代表日","是一次投资加逐时调度的确定性两阶段模型，不是信息逐季揭示的多阶段F/X策略；未处理N-1、工程延期和共享CFE柔性预算","RQ1直接基线；RQ2方法背景","F-全文筛选","https://doi.org/10.1145/3765611.3815593; https://arxiv.org/abs/2604.05376","2026-07-13"
"DC03","firm/flexible输电容量分配","直接竞争","Shaoze Li; Bohang Fang; Cong Chen","2026","Risk-Aware Allocation of Transmission Capacity for AI Data Centers","arXiv preprint:2604.08854","多个数据中心候选节点的输电取电容量与拍卖分配","月度或季节长期容量评估；静态容量产品","净负荷场景；算例使用2000个截断正态样本","robust firm容量；CVaR flexible容量；容量、风险和位置三属性拍卖","否；未建关键N-1集合，且flexible模型用CVaR允许取电和网络限额违约","无扩建、工期或延期","flexible容量以可接受停电概率定义；无响应时间、持续时间、事件次数和恢复债务","净负荷可含新能源，但无CFE匹配","4-bus示例；两个数据中心候选节点；2000个场景","静态风险容量分配而非分阶段接入；CVaR会放松网络限额，与本项目坚持N-1热安全硬约束不同；无扩建和绿电协同","RQ1直接对照；RQ2安全边界","F-全文筛选","https://arxiv.org/abs/2604.08854","2026-07-13"
"DC04","数据中心时空灵活性与安全约束运行","直接竞争","Haoxiang Wan; Xingpeng Li","2026","Data Center Spatio-Temporal Load Flexibility in Security-Constrained Unit Commitment for Enhanced Grid Efficiency and Reliability","arXiv preprint:2605.18517","多个数据中心参与SCUC、拥塞缓解和新能源消纳","连续24小时；日内SCUC","确定性新能源曲线；新能源预测不确定性列为未来工作","机组启停和调度；新能源利用；空间、时间和联合工作负载重分配","是；37个线路N-1状态，但热越限和负荷损失使用高罚值软约束","无规划扩建、工期或延期","固定/柔性负荷拆分；空间守恒、逐站日能量守恒或全局日能量守恒；无最大持续时间、事件次数和恢复债务","优化新能源利用和弃电，不定义可归属CFE，也不比较年度与小时匹配","修改的RTS-24；两个数据中心位于bus 9和18；共址PV","同一负荷变量联合服务系统目标，未建两种合同服务的独立承诺及错误重复承诺基线；无F/X、扩建、多阶段信息或场景外策略执行","RQ2最接近的运行模型；RQ3背景","F-全文筛选","https://arxiv.org/abs/2605.18517","2026-07-13"
"DC05","AI集群可调负荷实证","参数与可行性支撑","Chris Williams; Philip Colangelo; Ayse Coskun; Ethan Levine; Andy Neale; Ciaran Roberts; Shayan Sengupta; Nikhil Shirolkar; Varun Sivaram; Sarah Soares; Ethan Tiao; Scott Underwood; Daniel Wilson; Frank Sharp; Luke Wainwright; Harry Petty; Scott Wallace; Brandon Records","2026","Power-Flexible AI Data Centers: A New Paradigm for Grid-Responsive Compute","arXiv preprint:2606.25098; submitted to IEEE","英国GPU集群和美国跨数据中心推理流量实证","数十秒至10小时；连续5天；200多个调度目标","真实调度事件；不建立规划场景树","GPU功率限制、作业调度、持续削减、跨区域推理迁移","仅用突发发电损失事件测试快速响应；不是网络N-1优化","讨论灵活接入，但无内生扩建和延期模型","约30%功率在40秒内下降；10%-40%削减持续2-10小时；重复事件和跨区迁移；未给出恢复债务约束","演示carbon-aware operation，但无年度或小时CFE归属核算","英国130 kW、96块GPU集群；美国Virginia到Illinois的推理迁移","为响应时间和持续时间参数提供实证，不回答容量释放、扩建、非预见性或灵活性重复承诺的规划问题","RQ2参数支撑","F-全文筛选","https://arxiv.org/abs/2606.25098","2026-07-13"
"DC06","数据中心电网容量压力","背景与综述","David Mytton; Masaō Ashtine; Scot Wheeler; David Wallom","2023","Stretched grid? Managing data center energy demand and grid capacity","Oxford Open Energy; journal article","数据中心聚集对配电网容量和利益相关者的影响","长期规划的定性讨论","摘要未报告","讨论电网容量管理和数据中心需求管理","不适用/摘要未报告","摘要未报告","定性讨论；待全文核验","无正式CFE模型","行业与电网容量背景；待全文核验","说明接入容量问题的重要性，但不提供可直接回答三个RQ的多阶段安全约束模型","背景","A-摘要筛选","https://doi.org/10.1093/ooenergy/oiad014","2026-07-13"
"DC07","数据中心需求灵活性综述","综述与参数边界","Constance Crozier; Matthew Liska","2025","The Potential of Data Center Energy Demand To Provide Grid Flexibility","Current Sustainable/Renewable Energy Reports; review article","数据中心灵活性机制、规模和成本证据","从快速保护到作业调度的多时间尺度","强调灵活性规模、成本和运营者意愿仍不确定","综述保护系统、预冷、CPU/GPU降频和智能作业调度","不适用","不适用","总结多种技术机制；指出多数证据集中于智能作业调度和加密挖矿","非核心","综述公开研究和真实能耗数据","支持本项目采用多档灵活性包络和敏感性分析，但不是接入/扩建优化模型","RQ2参数边界","A-摘要筛选","https://doi.org/10.1007/s40518-025-00258-9","2026-07-13"
"DC08","大型负荷规划与接入","机构背景","Ilya Chernyakhovskiy","2026","Large Load Planning, Siting, and Interconnection","US DOE/National Laboratory of the Rockies; technical presentation","SMUD大型负荷与数据中心接入","长期规划；演示材料","待全文核验","规划、选址和接入流程","待全文核验","待全文核验","待全文核验","非核心","SMUD管理委员会材料","机构实践材料，不是同行评议优化模型；用于制度和工程背景而非创新证据","背景","M-元数据核验","https://doi.org/10.2172/3018003","2026-07-13"
"DC09","新兴大型负荷可靠性风险","机构背景与安全边界","North American Electric Reliability Corporation","2025","Characteristics and Risks of Emerging Large Loads","NERC white paper","北美数据中心等新兴大型负荷的可靠性特征和风险","规划与运行多时间尺度","大型负荷行为和增长不确定性；细节待全文编码","可靠性风险识别和缓解建议；非优化模型","作为可靠性背景，非本项目N-1数学模型","非优化模型","讨论大型负荷可控性和异常行为；待全文编码","非核心","北美行业事件和可靠性经验","支持硬安全和大负荷行为假设，不构成多阶段F/X或CFE协同先例","背景；RQ1安全边界","M-官方来源核验，待全文编码","https://www.nerc.com/globalassets/who-we-are/standing-committees/rstc/3_doc_white-paper-characteristics-and-risks-of-emerging-large-loads.pdf","2026-07-13"
"DC10","AI与能源系统背景","机构背景","International Energy Agency","2025","Energy and AI","IEA report","全球AI、电力需求、数据中心和电力系统影响","中长期预测与政策分析","需求增长预测不确定性","情景分析和政策建议；非项目级优化","不适用","不适用","讨论AI数据中心灵活性；待章节级编码","讨论清洁电力与AI，但非本项目CFE约束","全球统计与情景","用于需求规模与政策背景，不能作为本项目模型创新证据","背景","M-官方书目信息核验，待全文编码","https://www.iea.org/reports/energy-and-ai/","2026-07-13"
